_id,LOCATIONID,ASSET_ID,ASSET_NAME,TYPE,AMENITIES,ADDRESS,PHONE,URL,geometry
118,2482,1413,MIDVALE PARKETTE,Park,None,23 Midvale Rd,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2482,"{""coordinates"": [[-79.4434286803569, 43.7455746818022]], ""type"": ""MultiPoint""}"
119,2508,784,OLD YONGE PARKETTE,Park,None,143 Yonge St,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2508,"{""coordinates"": [[-79.3993873050628, 43.7450729786521]], ""type"": ""MultiPoint""}"
120,2757,1311,FRED JOHNSON PARK,Park,None,3630 Kingston Rd,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2757,"{""coordinates"": [[-79.2148446602652, 43.7418682251854]], ""type"": ""MultiPoint""}"
121,104,569,KEELE - MULOCK PARKETTE,Park,"Basketball Court, Playground",595 Keele St,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=104,"{""coordinates"": [[-79.4666952506382, 43.6716295096463]], ""type"": ""MultiPoint""}"
122,2442,75,BEAVER - LIGHTBOURN PARKETTE,Park,None,94 Lightbourn Ave,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2442,"{""coordinates"": [[-79.4439843197904, 43.6710748412424]], ""type"": ""MultiPoint""}"
123,367,177,CHANDOS PARK NORTH,Park,Outdoor Dry Pad,75 Lightbourn Ave,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=367,"{""coordinates"": [[-79.4425250813179, 43.6710858906025]], ""type"": ""MultiPoint""}"
124,3201,1475,RAMBERT CRESCENT PARKETTE,Park,None,20 Rambert Cres,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=3201,"{""coordinates"": [[-79.4802810688458, 43.6455277872594]], ""type"": ""MultiPoint""}"
125,344,879,RIVERDALE PARK WEST,Park,"Ball Diamond, Dog Off-Leash Area, Picnic Site, Washroom",375 Sumach St,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=344,"{""coordinates"": [[-79.3596806778075, 43.6664382199104]], ""type"": ""MultiPoint""}"
126,205,990,ST. PATRICKS SQUARE,Park,None,14 St Patricks Sq,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=205,"{""coordinates"": [[-79.390653198982, 43.6506929777232]], ""type"": ""MultiPoint""}"
127,232,236,COURTHOUSE SQUARE PARK,Park,None,10 Court St,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=232,"{""coordinates"": [[-79.3754637853063, 43.6504672936036]], ""type"": ""MultiPoint""}"
128,2639,409,GIOVANNI CABOTO PARK,Park,Playground,160 Tavistock Rd,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2639,"{""coordinates"": [[-79.5021925171554, 43.7301011741118]], ""type"": ""MultiPoint""}"
129,981,82,BELMAR PARK,Park,Playground,70 Monclova Rd,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=981,"{""coordinates"": [[-79.5095341127643, 43.7318250468764]], ""type"": ""MultiPoint""}"
